"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"tupleFunction",0.07,0.00,0.08,8560,0.07,0.00,0.08,8560,0.07,0.00,0.07,8560
"tupleMember",0.07,0.00,0.07,8560,0.07,0.00,0.07,8560,0.08,0.00,0.08,8560
"tuplePolymorphism",0.08,0.00,0.08,8576,0.08,0.00,0.08,8576,0.08,0.00,0.08,8576
"tupleVariadic",0.41,0.01,0.42,14084,0.44,0.00,0.44,14084,0.43,0.01,0.44,14084
"typedefRedef",0.06,0.00,0.07,8272,0.06,0.00,0.07,8272,0.06,0.00,0.06,8272
"typeof",0.06,0.00,0.07,8268,0.06,0.00,0.06,8268,0.06,0.00,0.07,8268
"user_literals",0.84,0.01,0.86,44108,0.84,0.01,0.86,44108,0.83,0.02,0.86,44108
"variableDeclarator",0.06,0.00,0.07,8356,0.06,0.00,0.07,8356,0.06,0.00,0.07,8356
"vector",4.11,0.05,4.17,55428,4.18,0.04,4.23,55428,4.14,0.03,4.18,55428
"voidPtr",0.06,0.00,0.07,8268,0.07,0.00,0.07,8268,0.06,0.00,0.07,8268
"wait",2.88,0.03,2.92,32324,2.88,0.01,2.90,32324,2.88,0.02,2.90,32324
"when",3.01,0.02,3.04,46200,3.01,0.03,3.05,46200,2.98,0.01,3.00,46200
"with-statement",0.08,0.00,0.08,9016,0.07,0.00,0.08,9016,0.06,0.01,0.08,9016
